iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.00942907	0.6880168396	0.03887269193	0.1293103448
1	0.9880000231	0.689381207	0.1136158702	0.1607898449
2	0.9747771927	0.6939346812	0.1332164768	0.2078614257
3	0.9652841609	0.6988871224	0.1742043551	0.2594458438
4	0.955503271	0.7008137865	0.2044887781	0.2784019975
5	0.943194913	0.7058253994	0.2369895917	0.3001230012
6	0.9297370256	0.7116644823	0.2570977918	0.34
7	0.9251612862	0.712337769	0.2547169811	0.3467600701
8	0.9163756317	0.7109051795	0.2679127726	0.358739255
9	0.8964592583	0.7197008329	0.3246073298	0.4006479482
10	0.8753135722	0.7290981478	0.3556515479	0.4344176285
11	0.856651085	0.7390923427	0.3834640057	0.4668705403
12	0.8418648772	0.7422463641	0.3971631206	0.4797953964
13	0.8247396343	0.7490703028	0.4349621473	0.5020283976
14	0.80861018	0.7538763144	0.4456671252	0.5271549576
15	0.7864648892	0.7621641249	0.4793713163	0.5429553265
16	0.7778928015	0.765166697	0.4973958333	0.5530043967
17	0.7611418809	0.7707567965	0.4964355152	0.5803357314
18	0.7433483615	0.7732093023	0.5323193916	0.5889570552
19	0.7366851918	0.7735463496	0.5346912794	0.5892351275
20	0.7248951382	0.7832402235	0.5516804058	0.6127058824
21	0.7118497892	0.7880373832	0.5561904762	0.6259897531
22	0.6913915219	0.8	0.5918495298	0.6517979062
23	0.6767454368	0.8071969697	0.6031152648	0.6657521719
24	0.6614461948	0.8149276466	0.6269020085	0.6752411576
25	0.6503023919	0.8179912331	0.6317073171	0.6846681922
26	0.6318116906	0.8300728807	0.6618876941	0.6987179487
27	0.6215345349	0.8312487974	0.6698450536	0.7073281748
28	0.6165354179	0.8335907336	0.6741973841	0.7158371041
29	0.6054419944	0.8404110917	0.6880093132	0.7237141557
30	0.5994943402	0.8435136707	0.6892523364	0.7280980481
31	0.5897088911	0.8481185416	0.6949941793	0.7433707865
32	0.5860741949	0.8474311389	0.7069065583	0.7381165919
33	0.5795684026	0.8502642396	0.7117273252	0.7446236559
34	0.5685643276	0.8537160834	0.7146144994	0.7517793594
35	0.5572084051	0.8569739953	0.7254901961	0.7674624226
36	0.5475420054	0.8610837438	0.7354618016	0.7668301382
37	0.5369146539	0.8634030794	0.7448979592	0.7707404103
38	0.5297015679	0.8649822345	0.7494356659	0.7708146822
39	0.5207795858	0.8702745722	0.7653631285	0.789893617
40	0.5139359803	0.8743299583	0.7673239437	0.7911504425
41	0.501038047	0.8790548658	0.7795100223	0.8001752848
42	0.4917080171	0.8852393351	0.7915742794	0.8061538462
43	0.4855587159	0.8881776355	0.7966759003	0.8095238095
44	0.4793141343	0.8910295003	0.8002207506	0.8168642951
45	0.4716754823	0.8943874472	0.8064159292	0.8233754906
46	0.4625737024	0.8988083216	0.8100987925	0.8334058286
47	0.4509598774	0.9018255578	0.8177826564	0.8396551724
48	0.4420043196	0.9062436445	0.828868234	0.8478073947
49	0.4351819869	0.9088313278	0.8335158817	0.8518992744
50	0.430570318	0.9119509704	0.8389553863	0.8559213339
51	0.4234945369	0.9148110317	0.8509485095	0.8644939966
52	0.41596419	0.9182879377	0.8560606061	0.8722768048
53	0.4034282214	0.9226031616	0.8646334938	0.8756432247
54	0.3969974342	0.9236154005	0.8681260011	0.8812980359
55	0.3926478035	0.9232983755	0.8639053254	0.885106383
56	0.3873613061	0.9236782555	0.8704496788	0.8851899274
57	0.3808517095	0.9264069264	0.8740661686	0.8879420537
58	0.3729194503	0.931705298	0.8803418803	0.8994932432
59	0.3652838836	0.9334990677	0.8853503185	0.8996188056
60	0.3571523893	0.9350487653	0.8884165781	0.9017292282
61	0.3504987908	0.9371499689	0.8939797549	0.9056444819
62	0.3431399021	0.942371476	0.9070749736	0.9141886151
63	0.3364456077	0.9449865061	0.9052408682	0.9180050719
64	0.3317683158	0.9464063149	0.9090909091	0.9188503804
65	0.3257385445	0.9508333333	0.9107142857	0.9282094595
66	0.3216294551	0.9553552714	0.9167103195	0.9339464883
67	0.3168932298	0.9544314381	0.920585162	0.9317607414
68	0.3132515498	0.9558300188	0.9212310902	0.9327165685
69	0.307468049	0.9566673645	0.9223553934	0.936026936
70	0.3026206163	0.9570500733	0.9239583333	0.9365279529
71	0.2950461784	0.9610935857	0.9351851852	0.9414243574
72	0.2899702142	0.9634300126	0.9389865564	0.9445378151
73	0.2857601794	0.9648790747	0.9416623645	0.9470588235
74	0.2834679224	0.9652996845	0.9416020672	0.9479429051
75	0.2785745358	0.9659377628	0.9453044376	0.9486963835
76	0.2762394599	0.967185528	0.9448737764	0.9499368952
77	0.2740264236	0.9676062263	0.9443872297	0.9503367003
78	0.2694505538	0.9684210526	0.9460154242	0.9516196887
79	0.2653390864	0.9711031428	0.9502308876	0.9554995802
80	0.2631130325	0.9719231581	0.9501797637	0.9572864322
81	0.2597880625	0.974793476	0.9529652352	0.9628392484
82	0.2564028302	0.9743589744	0.9524296675	0.9633027523
83	0.2532661136	0.9749787956	0.9539877301	0.9633333333
84	0.2487531893	0.9779193206	0.9595907928	0.9688408808
85	0.2470007177	0.978117697	0.9627360898	0.9667497922
86	0.2446817389	0.9779005525	0.9601226994	0.9676348548
87	0.2411175757	0.9781083953	0.9590163934	0.9672877847
88	0.2378585724	0.9787775891	0.9600409836	0.969269103
89	0.2329580467	0.9806259314	0.9638308711	0.9718076285
90	0.2288009041	0.9810678579	0.9642492339	0.9738914215
91	0.2252740163	0.9837953092	0.9684317719	0.9751861042
92	0.2218553778	0.9846547315	0.9704984741	0.975973488
93	0.2199058619	0.9850682594	0.9710512951	0.9763975155
94	0.2167288588	0.9865700277	0.974151039	0.9792358804
95	0.2126271456	0.9888841385	0.9772151899	0.9822240595
96	0.21088779	0.9891141942	0.9766970618	0.9821798591
97	0.2064505955	0.9895410886	0.9818181818	0.9821354383
98	0.2041236558	0.9905942711	0.9833417466	0.9838375466
99	0.2024472193	0.9910218042	0.9833249116	0.984679089
