iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.010322494	0.6878213604	0.05916030534	0.01643385374
1	0.9876490551	0.6927985415	0.03560830861	0.1947261663
2	0.9760792134	0.696	0.06974552309	0.206485771
3	0.9634831552	0.6973746266	0.1056466302	0.2628642281
4	0.9523692703	0.6979695431	0.1295474712	0.2766605728
5	0.9369953655	0.7034817814	0.1860854987	0.3251173709
6	0.9259010669	0.7041653001	0.201804758	0.3373219373
7	0.9148202917	0.7054327961	0.2365079365	0.3614054657
8	0.9039751952	0.7062404871	0.2580645161	0.3834141088
9	0.8896477473	0.709556314	0.2676806084	0.4101212441
10	0.8767737035	0.7216281476	0.3099630996	0.4304325169
11	0.8626318669	0.7259104374	0.3294629898	0.4603580563
12	0.8517836948	0.7283885674	0.3550212164	0.4572890026
13	0.839263924	0.7343611554	0.3767313019	0.477581864
14	0.8221476626	0.7420165052	0.4010876954	0.4933399112
15	0.8109144018	0.7467485549	0.4301937208	0.5022069642
16	0.7972402805	0.7533127609	0.4328657315	0.5179090029
17	0.7835680686	0.7577753385	0.4395750332	0.5333333333
18	0.7687467182	0.7580466149	0.4637122672	0.5339023234
19	0.7550106501	0.7695724597	0.4666666667	0.5528686581
20	0.7406658159	0.7781926811	0.4885496183	0.5718283582
21	0.730399008	0.782739212	0.5109034268	0.5755732335
22	0.7178348535	0.7872380593	0.5305105853	0.5901337022
23	0.7066580291	0.7913994719	0.5359801489	0.6014828545
24	0.6936341359	0.7972716938	0.547458665	0.6219342897
25	0.6810538399	0.8028169014	0.5529841657	0.6341911765
26	0.6692376692	0.8087702574	0.5674698795	0.6432856484
27	0.6570658141	0.8114549298	0.5863501484	0.6501831502
28	0.6463631164	0.8126202386	0.5948533812	0.6654561961
29	0.6343578195	0.8135723925	0.6107501477	0.6733576642
30	0.6238887882	0.8192911098	0.6200822079	0.6863100635
31	0.616419628	0.8234384065	0.6384976526	0.6909421939
32	0.6043581218	0.826744186	0.6576945582	0.6999546074
33	0.5937165396	0.8351477449	0.6651162791	0.7137681159
34	0.5825357391	0.835704541	0.6666666667	0.7175779485
35	0.575332069	0.83967975	0.6758462421	0.722826087
36	0.5662655965	0.8419613206	0.6743251005	0.7341772152
37	0.5592778672	0.849341976	0.6875712657	0.7391109115
38	0.5466510426	0.8542199488	0.7050847458	0.7453808022
39	0.5395545975	0.8569173081	0.7081447964	0.755476084
40	0.5306198521	0.8617821782	0.7176602925	0.765597148
41	0.5227554567	0.8661511005	0.7192784667	0.7733924612
42	0.5147605965	0.8725392722	0.7356064841	0.7728482697
43	0.5074612874	0.8726621568	0.7379619261	0.7761061947
44	0.4998125036	0.8739095956	0.7456679709	0.7798124163
45	0.4907604227	0.876368704	0.7519553073	0.784417884
46	0.4836677623	0.8831429144	0.7688053097	0.7982417582
47	0.4764098753	0.8845307184	0.7694013304	0.8014090709
48	0.4678213346	0.8868796464	0.7796234773	0.8064657055
49	0.4590999704	0.8931020573	0.7812154696	0.8151041667
50	0.4500093088	0.8945249597	0.7909040488	0.8213820078
51	0.4424894054	0.8961616162	0.7982310669	0.8283614354
52	0.4348519234	0.9002020202	0.8072687225	0.8334778838
53	0.4290746312	0.9014937424	0.8125	0.839581517
54	0.4236155893	0.9073586053	0.8226332971	0.8439808779
55	0.4164608758	0.9110840438	0.826536161	0.8530559168
56	0.4109636091	0.9118960617	0.8235294118	0.8571428571
57	0.4034802157	0.9150885767	0.8323385784	0.8610871441
58	0.3962886402	0.9197229014	0.8423326134	0.8693771626
59	0.3906912001	0.9228886169	0.854368932	0.878238342
60	0.3850534378	0.9232653061	0.8563685637	0.8766652342
61	0.3792048374	0.926659857	0.8531165312	0.8833619211
62	0.373359953	0.9300799672	0.8603651987	0.8864123446
63	0.3672294042	0.9319909595	0.8654467169	0.8896463571
64	0.3612765435	0.9351395731	0.8759439051	0.89428815
65	0.3562042246	0.9362926428	0.8824476651	0.8962868118
66	0.3499379866	0.9396746963	0.880387931	0.9003815176
67	0.3438689138	0.9401357745	0.8864981173	0.9005102041
68	0.3365978689	0.9427983539	0.887452881	0.9061571125
69	0.3304559564	0.9456566488	0.8947087119	0.9133589415
70	0.3255746781	0.9495450786	0.9008528785	0.9194915254
71	0.3209403567	0.9527363184	0.9016480595	0.9243768483
72	0.3153820011	0.9524596941	0.9051172708	0.925360475
73	0.3103827718	0.9556200747	0.9095716552	0.930902925
74	0.3044579676	0.9565577162	0.9156498674	0.9332766681
75	0.3000089547	0.9579971032	0.9182590234	0.9367303609
76	0.293884265	0.9600997506	0.9223454834	0.937896071
77	0.2894301968	0.9614824068	0.9263932702	0.9404309252
78	0.2845747837	0.9649415693	0.927263213	0.9455466442
79	0.280039032	0.9658617818	0.9294736842	0.9467905405
80	0.2747962973	0.9658475635	0.9319371728	0.9491525424
81	0.2702095178	0.9687239366	0.9397590361	0.9514152936
82	0.267122325	0.9695452649	0.9414225941	0.954353339
83	0.2633222945	0.9716193656	0.9434554974	0.9535864979
84	0.2597998178	0.973255328	0.9484106305	0.9564850021
85	0.2551212334	0.9728033473	0.9468196038	0.9553496209
86	0.2515363571	0.974015088	0.9527272727	0.9566315789
87	0.2481676073	0.973447627	0.9521331946	0.9556400507
88	0.2449049546	0.974262398	0.954711088	0.9595278246
89	0.2412506233	0.9746702952	0.9537181487	0.9595278246
90	0.2373143588	0.9771440554	0.9574688797	0.9633684211
91	0.2337198041	0.9783840504	0.9597107438	0.9649936736
92	0.2292179205	0.9802437999	0.9644146467	0.9658947368
93	0.2258403277	0.9827586207	0.9659793814	0.9696969697
94	0.2223987313	0.9842403866	0.9691358025	0.9742507387
95	0.2190538601	0.9844407065	0.9696658098	0.9734289329
96	0.2155446654	0.9850683491	0.971722365	0.9755480607
97	0.2125202509	0.9861111111	0.9738327347	0.9751159848
98	0.2086912433	0.987357775	0.9738863287	0.9768225874
99	0.205374347	0.9871551906	0.9758602979	0.9781144781
