iter	Passed	Remaining
0	50	5005
1	93	4583
2	118	3841
3	133	3196
4	145	2759
5	155	2439
6	165	2193
7	173	1997
8	183	1856
9	193	1739
10	202	1640
11	211	1553
12	221	1481
13	230	1417
14	240	1364
15	250	1314
16	259	1266
17	269	1226
18	279	1190
19	289	1157
20	298	1124
21	308	1093
22	318	1066
23	329	1042
24	339	1017
25	349	994
26	358	969
27	368	947
28	377	925
29	387	904
30	397	884
31	407	866
32	416	845
33	425	826
34	435	809
35	445	792
36	455	775
37	464	758
38	473	741
39	483	725
40	493	709
41	502	694
42	511	678
43	521	664
44	532	650
45	541	636
46	551	621
47	560	607
48	570	593
49	579	579
50	589	566
51	598	552
52	608	539
53	618	526
54	627	513
55	637	500
56	647	488
57	656	475
58	666	462
59	675	450
60	685	438
61	694	425
62	703	413
63	713	401
64	723	389
65	732	377
66	742	365
67	751	353
68	761	342
69	770	330
70	779	318
71	790	307
72	799	295
73	808	283
74	817	272
75	826	261
76	836	249
77	846	238
78	856	227
79	865	216
80	875	205
81	885	194
82	895	183
83	905	172
84	914	161
85	924	150
86	933	139
87	943	128
88	953	117
89	962	106
90	971	96
91	981	85
92	990	74
93	999	63
94	1009	53
95	1018	42
96	1027	31
97	1037	21
98	1046	10
99	1055	0
