nacional,dom_0,dom_1,dom_2
CVE_ENT,CVE_ENT,CVE_ENT,CVE_ENT
PAREJA_GANANCIAS,PAREN,PAREN,PAREN
MES_PARTO,NUM_RESIDENTES,MES_PARTO,LIBERTAD_USAR_DINERO
FOCOS,PAREJA_CUANTO_APORTA_GASTO,NUM_RESIDENTES,FOCOS
ESCOLARIDAD,EDAD,EDAD,ENTREVISTADA_TRABAJA
PAREJA_CUANTO_APORTA_GASTO,MES_PARTO,CUARTOS_DORMIR,PAREJA_CUANTO_APORTA_GASTO
DOMINIO,RES_PADRE,RES_MADRE,NUM_RESIDENTES
CUARTOS_DORMIR,NACIO_VIV,RES_PADRE,PAREJA_GANANCIAS
BIENES_DE_VIVIENDA,DONDE_CONSULTAS_PRENATALES,PAREJA_GANANCIAS,MES_PARTO
CUARTOS_TOTAL,CUARTOS_DORMIR,NACIO_VIV,BIENES_DE_VIVIENDA
PAREN,CUARTOS_TOTAL,CUARTOS_TOTAL,EDAD
SERVICIOS_MEDICOS_AFILIADA,RES_MADRE,AGUA,PROPIEDADES_DEL_HOGAR
DRENAJE,PERT_INDIGENA,DRENAJE,CUARTOS_DORMIR
NUM_RESIDENTES,NUM_EMBARAZOS,DONDE_ATENDIO_PARTO,CUARTOS_TOTAL
RES_MADRE,DONDE_ATENDIO_PARTO,DONDE_CONSULTAS_PRENATALES,RES_MADRE
RES_PADRE,PAREJA_GANANCIAS,SITUACION_CONYUGAL,RES_PADRE
GRADO_ESCOLAR,SITUACION_CONYUGAL,BIENES_DE_VIVIENDA,PAREJA_GANANCIAS_FRECUENCIA
VERIF_SITUACION_PAREJA,AGUA,GRADO_ESCOLAR,NACIO_VIV
PROPIEDADES_DEL_HOGAR,DRENAJE,PERT_INDIGENA,DONDE_ATENDIO_PARTO
NUM_EMBARAZOS,BIENES_DE_VIVIENDA,VERIF_SITUACION_PAREJA,SERVICIOS_MEDICOS_AFILIADA
NACIO_VIV,GRADO_ESCOLAR,PROPIEDADES_DEL_HOGAR,VERIF_SITUACION_PAREJA
ANIO_PARTO,LIBERTAD_USAR_DINERO,NUM_EMBARAZOS,NUM_EMBARAZOS
DONDE_ATENDIO_PARTO,ABORTO,ABORTO,ABORTO
P10_8_abuso,P10_8_abuso,ANIO_PARTO,DONDE_CONSULTAS_PRENATALES
DONDE_CONSULTAS_PRENATALES,SERVICIOS_MEDICOS_AFILIADA,SERVICIOS_MEDICOS_AFILIADA,SITUACION_CONYUGAL
EDAD,FOCOS,ESCOLARIDAD,MATERIAL_PISOS
PAREJA_GANANCIAS_FRECUENCIA,MATERIAL_PISOS,LENG_INDIGENA,ESCOLARIDAD
ABORTO,ESCOLARIDAD,P10_8_abuso,GRADO_ESCOLAR
MATERIAL_PISOS,LENG_INDIGENA,P10_8_atencion,P10_8_abuso
PERT_INDIGENA,VERIF_SITUACION_PAREJA,FOCOS,P10_8_atencion
ENTREVISTADA_TRABAJA,P10_8_atencion,PAREJA_CUANTO_APORTA_GASTO,DRENAJE
LIBERTAD_USAR_DINERO,NUM_HOGARES,MATERIAL_PISOS,PAREJA_APORTA_PARA_GASTO
FUENTES_DE_DINERO,ENTREVISTADA_TRABAJA,PAREJA_GANANCIAS_FRECUENCIA,FUENTES_DE_DINERO
SITUACION_CONYUGAL,PAREJA_GANANCIAS_FRECUENCIA,LIBERTAD_USAR_DINERO,ANIO_PARTO
AGUA,FUENTES_DE_DINERO,FUENTES_DE_DINERO,AGUA
LENG_INDIGENA,PROPIEDADES_DEL_HOGAR,NUM_HOGARES,PERT_INDIGENA
PAREJA_TRABAJA,ANIO_PARTO,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA
PAREJA_APORTA_PARA_GASTO,PAREJA_TRABAJA,PAREJA_TRABAJA,NUM_HOGARES
P10_8_atencion,PAREJA_APORTA_PARA_GASTO,PAREJA_APORTA_PARA_GASTO,ALFABETISMO
NUM_HOGARES,ALFABETISMO,ALFABETISMO,ASISTENCIA_ESC
ALFABETISMO,ASISTENCIA_ESC,ASISTENCIA_ESC,LENG_INDIGENA
ASISTENCIA_ESC,NACIO_MUERT,NACIO_MUERT,NACIO_MUERT
NACIO_MUERT,nan,nan,nan
