,nacional,dom_0,dom_1,dom_2
CVE_ENT,0.9761904761904762,1.0731707317073171,1.0975609756097562,0.8292682926829269
DOMINIO,0.11904761904761904,,,
SITUACION_CONYUGAL,0.19047619047619047,0.3170731707317073,0.2682926829268293,0.17073170731707318
PISOS,0.11904761904761904,0.1951219512195122,0.12195121951219512,0.07317073170731708
CUARTOS_DORMIR,0.11904761904761904,0.17073170731707318,0.14634146341463417,0.14634146341463417
CUARTOS_TOTAL,0.16666666666666666,0.17073170731707318,0.14634146341463417,0.0975609756097561
FOCOS,0.21428571428571427,0.24390243902439024,0.1951219512195122,0.1951219512195122
AGUA,0.14285714285714285,0.24390243902439024,0.14634146341463417,0.12195121951219512
DRENAJE,0.14285714285714285,0.12195121951219512,0.0975609756097561,0.07317073170731708
NUM_RESIDENTES,0.3333333333333333,0.34146341463414637,0.2682926829268293,0.17073170731707318
NUM_HOGARES,0.11904761904761904,0.41463414634146345,0.0975609756097561,0.0975609756097561
BIENES_DE_VIVIENDA,0.3333333333333333,0.5121951219512195,0.3902439024390244,0.34146341463414637
PAREN,0.23809523809523808,0.36585365853658536,0.4634146341463415,0.2682926829268293
EDAD,0.26190476190476186,0.3902439024390244,0.29268292682926833,0.2682926829268293
RES_MADRE,0.14285714285714285,0.1951219512195122,0.17073170731707318,0.0975609756097561
RES_PADRE,0.23809523809523808,0.1951219512195122,0.1951219512195122,0.12195121951219512
ESCOLARIDAD,0.14285714285714285,0.12195121951219512,0.14634146341463417,0.14634146341463417
GRADO_ESCOLAR,0.14285714285714285,0.1951219512195122,0.14634146341463417,0.14634146341463417
ALFABETISMO,0.09523809523809523,0.21951219512195122,0.12195121951219512,0.07317073170731708
ASISTENCIA_ESC,0.14285714285714285,0.17073170731707318,0.12195121951219512,0.12195121951219512
PERT_INDIGENA,0.16666666666666666,0.12195121951219512,0.0975609756097561,0.0975609756097561
LENG_INDIGENA,0.14285714285714285,0.14634146341463417,0.17073170731707318,0.04878048780487805
VERIF_SITUACION_PAREJA,0.16666666666666666,0.14634146341463417,0.0975609756097561,0.12195121951219512
ENTREVISTADA_TRABAJA,0.19047619047619047,0.21951219512195122,0.12195121951219512,0.12195121951219512
PAREJA_TRABAJA,0.09523809523809523,0.0975609756097561,0.04878048780487805,0.07317073170731708
PAREJA_GANANCIAS,0.3571428571428571,0.41463414634146345,0.34146341463414637,0.43902439024390244
PAREJA_GANANCIAS_FRECUENCIA,0.14285714285714285,0.12195121951219512,0.12195121951219512,0.0975609756097561
PAREJA_APORTA_PARA_GASTO,0.023809523809523808,0.0975609756097561,0.07317073170731708,0.04878048780487805
PAREJA_CUANTO_APORTA_GASTO,0.3333333333333333,0.29268292682926833,0.21951219512195122,0.14634146341463417
LIBERTAD_USAR_DINERO,0.16666666666666666,0.14634146341463417,0.14634146341463417,0.07317073170731708
FUENTES_DE_DINERO,0.09523809523809523,0.12195121951219512,0.12195121951219512,0.04878048780487805
PROPIEDADES_DEL_HOGAR,0.11904761904761904,0.0975609756097561,0.0975609756097561,0.14634146341463417
NUM_EMBARAZOS,0.11904761904761904,0.14634146341463417,0.12195121951219512,0.14634146341463417
NACIO_VIV,0.11904761904761904,0.12195121951219512,0.14634146341463417,0.12195121951219512
NACIO_MUERT,0.07142857142857142,0.07317073170731708,0.07317073170731708,0.07317073170731708
ABORTO,0.11904761904761904,0.14634146341463417,0.12195121951219512,0.12195121951219512
ANIO_PARTO,0.30952380952380953,0.1951219512195122,0.0975609756097561,0.0975609756097561
MES_PARTO,0.6904761904761905,0.7560975609756098,0.6097560975609756,0.41463414634146345
DONDE_ATENDIO_PARTO,0.09523809523809523,0.14634146341463417,0.12195121951219512,0.07317073170731708
P10_8_abuso,0.14285714285714285,0.0975609756097561,0.0975609756097561,0.0975609756097561
P10_8_atencion,0.09523809523809523,0.14634146341463417,0.14634146341463417,0.0975609756097561
SERVICIOS_MEDICOS_AFILIADA,0.16666666666666666,0.24390243902439024,0.14634146341463417,0.14634146341463417
DONDE_CONSULTAS_PRENATALES,0.16666666666666666,0.1951219512195122,0.12195121951219512,0.12195121951219512
