CVE_ENT,SITUACION_CONYUGAL,PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
0,0.0,2,1,2,10,0,0,7,1.0,4,1,6.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1,1.0,2000.0,0.0,0.0,2400.0,0,1,1,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0,0,11.0,2.0
0,0.0,2,0,2,9,0,0,3,1.0,8,1,3.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,1,1.0,1600.0,0.0,0.0,1600.0,1,0,2,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0,0,0.0,1.0
0,0.0,0,0,1,3,0,0,3,1.0,4,1,4.0,96.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0,1.0,999998.0,,0.0,,0,0,2,1.0,1.0,0.0,0.0,4.0,2.0,4.0,1,0,5.0,4.0
0,2.0,1,2,3,6,0,0,7,1.0,6,2,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0,1.0,999998.0,,1.0,,0,0,1,1.0,1.0,0.0,0.0,3.0,9.0,3.0,0,0,5.0,0.0
0,2.0,0,0,3,4,0,0,3,1.0,5,2,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,,,1.0,,0,0,1,1.0,1.0,0.0,0.0,5.0,1.0,4.0,1,0,8.0,0.0
0,4.0,1,1,2,5,0,0,5,1.0,8,2,2.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,,1,1.0,,,,,1,0,2,1.0,1.0,0.0,0.0,5.0,9.0,4.0,0,1,8.0,6.0
0,1.0,2,0,2,5,0,0,3,1.0,6,0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0,1.0,999998.0,,0.0,8000.0,0,0,1,1.0,1.0,0.0,0.0,3.0,2.0,4.0,0,0,5.0,0.0
0,2.0,2,1,1,7,0,0,3,1.0,7,0,4.0,1.0,1.0,4.0,6.0,1.0,0.0,2.0,0.0,3.0,1,1.0,999998.0,,0.0,4000.0,1,0,0,1.0,1.0,0.0,0.0,4.0,6.0,4.0,0,1,5.0,6.0
0,0.0,1,0,0,3,0,0,5,1.0,1,1,5.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0,1.0,999998.0,,0.0,,0,0,0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,1,0,8.0,0.0
0,0.0,2,0,5,4,0,0,5,1.0,4,1,5.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0,1.0,1200.0,0.0,0.0,4000.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,8.0,4.0
0,4.0,1,1,4,6,0,0,6,1.0,6,2,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,,1,1.0,,,,,1,0,1,1.0,1.0,0.0,0.0,2.0,10.0,1.0,0,1,0.0,2.0
0,0.0,1,3,5,6,0,0,10,1.0,5,3,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1,1.0,1800.0,0.0,0.0,4800.0,1,0,3,2.0,1.0,0.0,1.0,5.0,4.0,4.0,0,0,5.0,11.0
0,0.0,2,1,2,5,0,0,5,1.0,4,1,2.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0,0.0,,,0.0,3000.0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0,0,0.0,4.0
