,nacional,dom_0,dom_1,dom_2
CVE_ENT,10,8,8,14
DOMINIO,36,0,0,0
SITUACION_CONYUGAL,17,13,6,16
PISOS,32,31,30,42
CUARTOS_DORMIR,14,19,17,9
CUARTOS_TOTAL,15,20,21,12
FOCOS,41,18,24,31
AGUA,38,21,38,26
DRENAJE,23,37,37,41
NUM_RESIDENTES,3,2,10,5
NUM_HOGARES,4,5,11,15
BIENES_DE_VIVIENDA,19,7,14,4
PAREN,2,1,4,3
EDAD,12,16,12,21
RES_MADRE,11,11,9,13
RES_PADRE,5,14,7,10
ESCOLARIDAD,33,41,31,34
GRADO_ESCOLAR,35,40,34,37
ALFABETISMO,28,10,28,27
ASISTENCIA_ESC,13,22,18,18
PERT_INDIGENA,26,12,32,36
LENG_INDIGENA,25,17,26,22
VERIF_SITUACION_PAREJA,39,42,36,35
ENTREVISTADA_TRABAJA,6,6,2,1
PAREJA_TRABAJA,40,32,41,33
PAREJA_GANANCIAS,34,15,13,17
PAREJA_GANANCIAS_FRECUENCIA,42,39,39,40
PAREJA_APORTA_PARA_GASTO,30,34,23,28
PAREJA_CUANTO_APORTA_GASTO,9,28,33,32
LIBERTAD_USAR_DINERO,16,9,1,2
FUENTES_DE_DINERO,21,24,20,38
PROPIEDADES_DEL_HOGAR,29,23,35,8
NUM_EMBARAZOS,20,33,27,20
NACIO_VIV,22,35,25,24
NACIO_MUERT,18,29,16,19
ABORTO,24,36,29,25
ANIO_PARTO,8,30,40,39
MES_PARTO,7,38,42,11
DONDE_ATENDIO_PARTO,37,27,19,30
P10_8_abuso,0,4,5,6
P10_8_atencion,1,3,3,7
SERVICIOS_MEDICOS_AFILIADA,31,26,22,23
DONDE_CONSULTAS_PRENATALES,27,25,15,29
