,nacional,dom_0,dom_1,dom_2
CVE_ENT,0.03027946126285598,0.03747135520953649,0.032766277721257585,0.02044630493626415
DOMINIO,0.011763019777443873,,,
SITUACION_CONYUGAL,0.022492036758830467,0.027552537638303135,0.04068718417732432,0.017691465130718637
PISOS,0.013443610992661177,0.01140248897801487,0.011289577507723676,0.00675553797908596
CUARTOS_DORMIR,0.02491710991520333,0.020770356479449043,0.014477611145824148,0.04291311103774672
CUARTOS_TOTAL,0.024843224040388447,0.017764553641213737,0.014139759087556571,0.026346544940250023
FOCOS,0.009630042946437987,0.021334234188937966,0.012662429299486763,0.009926192710914524
AGUA,0.01141864260372494,0.016497094719684753,0.008907792174629184,0.012431448985159806
DRENAJE,0.015123525817289978,0.009839477355026669,0.008938337836621077,0.006755537979085962
NUM_RESIDENTES,0.046325729062666327,0.0591158270830344,0.025689792584940332,0.056573052438086635
NUM_HOGARES,0.03985323994234233,0.053945303054365686,0.02248386900267108,0.019324756096510815
BIENES_DE_VIVIENDA,0.018058021530003653,0.04643250168727395,0.016122054673618883,0.05803577443813013
PAREN,0.052474913751309624,0.06532718348305751,0.08284687388626835,0.07288712633189685
EDAD,0.025454550336748687,0.026219809202728872,0.02187303689112259,0.014386156442377368
RES_MADRE,0.030078956329281006,0.02845316364092717,0.030471549117326188,0.02468248330723153
RES_PADRE,0.039275680917364886,0.02749846099411728,0.032928531820910045,0.03335617558334782
ESCOLARIDAD,0.01319652473523017,0.00872380584763084,0.01127618711433836,0.009298473385008459
GRADO_ESCOLAR,0.012365021933620319,0.009038007581291986,0.009687749987780806,0.008616123946245228
ALFABETISMO,0.014748147406076098,0.028636958519717343,0.01198165978159534,0.011597827050748414
ASISTENCIA_ESC,0.025204581649864576,0.016312764481153475,0.014390078560468606,0.01619112696625829
PERT_INDIGENA,0.014818477133455866,0.02841491318327046,0.010137577967610596,0.008881821432021077
LENG_INDIGENA,0.014962318926420217,0.026068395268822566,0.012555521958610328,0.01408246773566221
VERIF_SITUACION_PAREJA,0.011234332845335215,0.008721550642893231,0.009192416690511298,0.009002129947072711
ENTREVISTADA_TRABAJA,0.03879178394787427,0.04863483845043743,0.09022512551783168,0.07875810118383324
PAREJA_TRABAJA,0.010035375115173188,0.01113689282910325,0.007915143152136815,0.009448443310329577
PAREJA_GANANCIAS,0.01242299302053609,0.02716331204940634,0.01714569924273625,0.01660106060583543
PAREJA_GANANCIAS_FRECUENCIA,0.007804283021558643,0.009293216016800226,0.008714805609703839,0.007763200071672632
PAREJA_APORTA_PARA_GASTO,0.014154731929554649,0.010249132431105125,0.013717495103455856,0.011520151684377733
PAREJA_CUANTO_APORTA_GASTO,0.03159885162266681,0.01255722222066333,0.009805877872175479,0.00966277029515987
LIBERTAD_USAR_DINERO,0.024223598935906684,0.0366683736885677,0.09260855746579993,0.07369992398534445
FUENTES_DE_DINERO,0.016378252913042356,0.014447826157254894,0.014191780566097129,0.008469776903601437
PROPIEDADES_DEL_HOGAR,0.014373484943714451,0.015158075833621108,0.009319252166141934,0.04352527143429201
NUM_EMBARAZOS,0.0165580447267926,0.01067577630355908,0.012313939172531293,0.01452373714599936
NACIO_VIV,0.015743991910511953,0.010015559115510301,0.012630241391985738,0.013048548829099326
NACIO_MUERT,0.019299506412423367,0.012307518258057985,0.014732320145961077,0.01589831907278912
ABORTO,0.015057671162804528,0.009975541089784653,0.011579681112729567,0.012501059962232962
ANIO_PARTO,0.032189188118669186,0.012226024840735131,0.007969307671396145,0.00842950268904414
MES_PARTO,0.03654837265507722,0.009368282425526798,0.006391781519814747,0.03119821853860004
DONDE_ATENDIO_PARTO,0.011623919169214654,0.012709320948825606,0.01427399902638451,0.010070389458821312
P10_8_abuso,0.06675817619390166,0.05623020530623075,0.08276134968516809,0.05527495746164988
P10_8_atencion,0.0658754484615226,0.058399979938979295,0.08950994118211851,0.05511819711935592
SERVICIOS_MEDICOS_AFILIADA,0.013825424462955946,0.013293913034781387,0.013764673459069898,0.013618969340681634
DONDE_CONSULTAS_PRENATALES,0.014775730661544069,0.01394824618059812,0.014923159948565232,0.010687762107456545
