,CVE_ENT,SITUACION_CONYUGAL,PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.042991605189519236,0.20025438819638772,0.10842024930043245,0.2296616636988044,0.46327675245337085,0.16240142457389978,0.26207071991859576,0.39486856956370314,3716576317.8183746,0.0018315950139913717,0.0803866700585093,0.1930297634189773,0.07174134419551934,0.11944515797585409,0.13523276519969474,0.20010175527855506,0.0033070465530399273,0.021012465021622996,0.23632621559042963,0.05011447468837447,0.23742004264392325,0.12887306029000253,0.0016559829059829,7.666490595912164e+22,0.06741041244083841,0.0019897821995160216,105.63688787318873,0.1303485118290511,0.12933095904350037,0.240040702111422,0.015914894665922975,0.0004578987534978207,0.0004578987534978207,0.0006105316713304276,0.2936657339099466,0.3678962096158738,0.1495293818366828,0.12902569320783516,0.11549224116001018,0.222335283642839,0.2022894937674892
SITUACION_CONYUGAL,5.087763927753563e-05,,0.0,0.00020351055711014253,0.0009157975069956414,0.009439248615114781,0.0,0.0,0.043497603585441615,-182414666.06421128,0.0,0.19628593233273975,-0.005850928516916843,0.004429735234215882,0.00025687130747498177,0.0,0.0,0.0,0.0,0.0012348855158219596,0.0,0.0024520255863539784,0.029051132027473912,0.03685897435897434,-8.539097975829277e+23,0.0,0.021134713632696967,2.943750748897437,0.0007631645891630568,0.00727550241668784,0.0009666751462731992,0.0006464048907867115,0.0,0.0,0.0,0.0,0.0,0.0,5.087763927753563e-05,0.0019842279318239785,0.0010684304248282483,0.0
PISOS,0.03083184940218775,0.0009666751462732215,,0.0,0.0,0.15317593895176856,0.04309336046807426,0.0026965148817095,0.01920968138421846,221726742.94978562,0.000559654032052892,0.0002543881963876782,0.0014754515390485335,0.0,0.0,0.0,0.0,0.0001526329178326069,0.0,0.0,0.00020351055711014253,0.0,0.0,0.0,2.9283029044828486e+21,0.0,0.0,0.23226725436360493,0.00010175527855507127,0.0,0.0,1.912687323188944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035614347494274947,0.00020351055711014253
CUARTOS_DORMIR,0.00010175527855507127,0.0034088018315950206,5.087763927753563e-05,,0.3831086237598576,0.009218399184874859,0.0,0.0,0.36515909863150037,2261465695.9430304,0.0,0.010124650216229946,0.006156194352582012,0.0006619144602851401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0338854307487163e+23,0.0,0.0,1.374621444215118,0.0,0.0,0.0006105316713304276,1.0084419033162816e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUARTOS_TOTAL,0.007479012973798005,0.004884253370643621,0.00010175527855507127,0.3524294072755024,,0.8040400243485257,0.0018315950139913717,0.0002543881963876782,0.008283933268087896,3268006412.7029924,0.0,0.005749173238361727,0.0022894937674891257,0.00010183299389003864,0.00015412278448498907,0.0,0.0010175527855507127,0.0,0.00035614347494274947,0.0,0.0,0.00010660980810235365,0.0,0.0,-2.453660801889743e+22,0.0,0.00026888948642112,4.631755630358967,0.0,0.0,0.003917578224370355,2.008150933252573e-06,0.0,0.0,0.0,0.00010175527855507127,0.0,0.0008140422284405701,0.0,0.0007122869498854989,0.0,0.00020351055711014253
FOCOS,0.0018315950139913939,0.0025947596031544507,0.10246756550496057,0.003357924192317463,0.2683286695497329,,0.035970490969219046,0.005901806156194333,0.009080125035874454,6087732715.968335,0.002900025438819642,0.00040702111422028506,0.004375476977868176,0.0007637474541751788,0.00015412278448498907,0.007122869498855255,0.004477232256423313,0.00020351055711014253,0.0,0.0003087213789555232,0.0021877384889341434,0.00015991471215353047,0.0005087763927753564,0.0,6.207313897084295e+22,0.0007437457741717556,0.000215111589136896,14.250294616367446,0.0,0.0003052658356652138,0.014398371915543117,2.8746114550970427e-05,0.0,0.0,0.0,5.087763927753563e-05,0.00040702111422028506,0.0008140422284405701,0.003205291274484856,0.0005087763927753786,0.0020351055711015364,0.0020351055711015143
AGUA,0.04375476977868227,0.0001526329178326513,0.04441617908929028,0.0,0.0,0.018640995572926488,,0.08725515136097686,0.002996858924515777,703142368.9783981,0.0012210633426608553,0.0,-0.002798270160264593,0.0,0.0,0.0,0.0,0.0007631645891630345,0.0,0.00565989194751737,0.0,0.0003731343283582378,0.0002543881963876782,0.0,-6.558034821574528e+21,0.0,0.0009142242538316969,0.6540305006435367,5.087763927753563e-05,0.0014245738997710645,0.0014754515390486,9.753984286930973e-11,0.0,0.0,0.0,0.0,5.087763927753563e-05,5.087763927753563e-05,0.0,0.0,0.0005087763927753564,0.0008140422284405701
DRENAJE,0.14357669804121093,0.0022894937674892367,0.004528109895700849,0.0,0.0,0.0041582827479155204,0.04940218773848892,,0.001100473275503755,8510406.41197052,0.0,0.0,0.00040702111422028506,0.0,0.0,0.0,0.0001526329178326069,0.0,0.0,0.00020581425263701547,0.0014245738997710421,0.0,0.0001526329178326069,0.0,7.670278724801003e+16,0.0,0.0,0.12787443792594347,0.0,0.0001526329178326069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010175527855507127,0.0,0.0,0.0
NUM_RESIDENTES,0.0007631645891630345,0.008140422284406035,0.004477232256423292,0.20122106334266085,0.0002543881963876782,0.011429393141775046,0.00020351055711014253,0.0,,3508661312.820552,0.000559654032052892,0.08303230730094127,0.10867463749682009,0.02321792260692466,0.012689442589262767,0.00803866700585092,0.0025947596031544286,0.0003052658356652138,0.0,0.0,0.0007631645891630345,0.00026652452025588413,0.0,0.0001602564102564097,-1.7327582512642806e+23,0.0,0.00026888948642112,6.839950902931075,0.0009666751462731992,0.050623251081149824,0.00010175527855507127,1.6660198998152963e-09,0.0,0.0,0.0,5.087763927753563e-05,0.0013736962604935065,0.0008649198677181058,0.0017298397354363003,0.0007122869498855211,5.087763927753563e-05,0.00020351055711014253
NUM_HOGARES,0.0,0.003154413635207365,0.0,0.0,0.0,0.0010314998128422958,0.0,0.0,0.2268484680115177,,0.0,0.022233528364283894,0.009259730348511819,0.0,0.007963010531723613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0238650174473792e+22,0.0,0.0,0.054186063426409393,0.0,0.0,0.0,2.155209281218262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
