,CVE_ENT,DOMINIO,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.08097125867195247,0.0073764689225541465,0.10288829109443572,0.05954976638822027,0.11495115390060881,2.5366301561924844,0.09062721223276231,0.10471471046297602,0.17022511680588986,0.013889282174713302,0.22504601444145553,0.017570437491151124,0.07268865920996745,0.012060657596371894,0.04276386596828583,0.04062013308792296,0.07274529236868188,0.0031997734673651747,0.0048279767804049415,0.0995186181509273,0.026263627353815645,0.1131977434679335,0.024012459294917177,0.01690442225392299,7.247369061605932,0.07042928325028741,0.013216715257531587,0.8779009151850199,0.06262211524847798,0.04890273254990798,0.1335409882486196,0.02363018547359479,0.028146679881070356,0.009514370664023808,0.017641228939544118,0.15113974231912786,0.1365425456604842,0.03693897777148518,0.021279909386946082,0.021265751097267492,0.05084241823587712,0.10114682146396714
DOMINIO,0.1354240407758743,,0.0025060172731133923,0.023219595072915135,0.0016423616027183784,0.0057057907404785444,0.0,0.016366982868469538,0.09520033979895223,0.0038510547925810546,0.0003256406626079622,0.05773750530935866,0.0007503893529662075,-0.00043890698003681285,0.00043934240362810686,0.0031857645117312925,0.002279484638255691,0.0019255273962905494,0.00015574118646470846,0.00011326631742887283,0.008197649723913302,0.0003397989522865297,0.00706650831353921,0.0038368965029024426,0.0013552068473609014,0.28550586128954286,0.0004216174779608561,0.0005681393436495874,0.004889490068310009,0.00492708480815518,0.021803766105054523,0.03717966869602156,7.07914483930594e-05,0.0010760300155741032,0.0015857284440039753,0.0009627636981452747,0.005323516919156157,0.0071216197083392215,0.006810137335409849,0.001826419368540333,0.0027183916182925484,0.00474302704233327,0.009896644485346173
SITUACION_CONYUGAL,0.023078012176129127,0.001047713436216946,,0.008056066827127251,0.018490726320260498,0.01169474727452926,0.0,0.0035678889990089944,0.014837887583179898,0.027566190004247492,0.0012176129123601775,0.013209684270140198,0.16123460285997454,0.00768795129548352,0.0037414965986394934,0.00464949415225655,0.0069800368115531695,0.014469772051536212,0.0,0.00050969842842985,0.004445702959082509,0.0006937561942517156,0.00403800475059386,0.03606116381141158,0.06724679029957203,0.0,0.011307014181678742,0.0231442027360395,0.00016535923634739547,0.010731983576384007,0.004148378875831793,0.011581480957100454,0.013790174146963041,0.011100099108027717,0.0005238567181084841,0.0014866204162537367,0.01602718391618293,0.011963754778422764,0.003624522157723309,0.00032564066260800664,0.0018264193685403108,0.017881919864080408,0.0054650998159422315
MATERIAL_PISOS,0.05436783236585026,0.009783378167917346,0.0007220727736089616,,0.00021237434517906717,0.002378592666005952,0.0,0.018519042899617765,0.006810137335409849,0.007447260370947184,0.002095426872433803,0.030723488602576853,0.0015857284440040198,0.0008919722497522375,0.0001558956916100085,0.0017937863241729967,0.0025060172731133923,0.000863655670395036,0.00011326631742889504,0.0004105904006796113,0.0003822738213223209,0.00021237434517906717,0.0003711401425178673,0.0001274246071074181,0.0002567760342368164,1.8848902405554924e-07,0.0004216174779608561,0.00026911863646561507,0.002798340047045866,0.00036811553164377563,0.004162537165510427,0.004063429137760188,0.0001274246071074847,0.0016989947614328039,0.00025484921421494724,0.0001982160555005219,0.001288404360753237,0.0028599745150785782,7.079144839299279e-05,0.0001274246071075069,7.07914483930594e-05,0.0015007787059323485,0.007475576950304386
CUARTOS_DORMIR,0.01969418094294213,0.00016989947614329815,0.006328755486337245,0.0037944216338665626,,0.22875548633725046,0.0,0.0016848364717542807,0.0018830525272546695,0.14672235593940255,0.00557836613337106,0.024904431544669436,0.00849497380716413,0.008438340648449671,0.0005102040816326925,0.003228815383511474,0.002704233328613892,0.0021662183208268405,4.247486903583564e-05,1.415828967861188e-05,0.0013591958091462076,0.00028316579357210434,0.0023456057007126053,0.0003822738213223653,0.0008559201141226991,5.5949827472187454,0.00019164430816398514,2.9902070718401674e-05,6.559604866587243e-05,0.00083533909103779,0.0012317712020387893,0.005068667704941276,0.002449384114398989,0.002180376610505452,0.0007220727736089838,0.000891972249752282,0.008395865779413859,0.00750389352966162,-0.0011892963330029983,-0.00018405776582182122,0.000622964745858745,0.0016989947614328483,0.003808579923545219
CUARTOS_TOTAL,0.07863514087498234,0.0011751380433244086,0.004983717966869606,0.009924961064703353,0.2117513804332436,,0.0,0.008721506442021876,0.001684836471754192,0.030171315305111145,0.0044598612487611435,0.026051253008636577,0.003412147812544264,0.009939119354381987,0.0006802721088435826,0.0024969505632488564,0.013818490726320265,0.005960639954693492,8.494973807167127e-05,0.00043890698003681285,0.007702109585162065,0.0007787059323233648,0.012871140142517844,0.0008919722497522375,0.002282453637660531,8.80114736865334e-06,0.0037753928708316844,0.0005382372729311636,0.0034337982416702494,0.002449384114398989,0.002916607673793048,0.02428146679881076,0.0032705649157581894,0.0028316579357213325,0.0019113691066119597,0.0013591958091462963,0.013294634008211815,0.017428854594364985,0.006116381141158156,0.001401670678182132,0.003298881495115413,0.00441738637972533,0.010986832790598889
FOCOS,0.09916466090896221,0.0074472603709472285,0.004077587427438756,0.06112133654254561,0.03580631459719663,0.1761857567605833,,0.032804757185332045,0.007702109585162065,0.029010335551465392,0.0016423616027183563,0.15395724196517063,0.008395865779413892,0.021194959648874422,0.005116213151927474,0.010633565329697881,0.02150644202180376,0.01220444570295911,0.0007079144839304164,0.0001415828967860744,0.0043749115106894495,0.00016989947614325373,0.008684679334916878,0.010434659493133203,0.0010841654778887433,0.00011211358090466029,0.0032771176696051894,0.0002392165657472134,0.11249185208951928,0.0023078012176129146,0.002137901741469661,0.041979328897069276,0.003610363868044764,0.0023644343763273403,0.0013591958091462742,0.003652838737080599,0.04265892680164237,0.025315021945348994,0.021931190712161965,0.00356788899900895,0.00254849214214925,0.005847373637264619,0.015871442729718254
AGUA,0.0712869885317854,0.01847656803058193,0.000750389352966141,0.024139883902024595,0.011015149369956068,0.00462976072490442,0.0,,0.04005380150077868,0.006130539430836768,0.00022653263485767906,0.03784510831091605,0.0027750247770069957,0.0038935296616168904,-0.0003968253968253732,0.0036449738107195984,0.0006371230355372903,0.0009769219878238867,0.0005804898768229316,1.415828967861188e-05,0.0046156024352258075,0.0012317712020387893,0.003696555819477454,-4.247486903583564e-05,0.00019971469329527203,6.485780821741116e-07,0.0005366040628592917,0.00014951035359200837,4.71822068292882e-05,0.0035820472886875397,0.007348152343196945,0.004289961772617934,0.0008211808013592226,0.0007787059323233648,0.0006795979045731704,0.0005380150077870738,0.005521732974656657,0.0070649865496247855,0.001274246071074603,0.0011892963330029983,0.0007928642220019988,0.002392750955684564,0.005436783236584986
DRENAJE,0.1297890414837888,0.07724762848647886,-0.00048138184907264847,0.014129973099249548,0.0032988814951153246,0.0005380150077870516,0.0,0.05656236726603432,,0.0032422483364009658,0.00036811553164377563,0.010193968568596955,-0.0006371230355372681,0.0008070225116805884,0.0004960317460317665,0.0013345770251846911,0.002704233328613914,0.0005946481665015213,7.07914483930594e-05,1.415828967861188e-05,0.0007645476426447306,0.0024069092453631756,0.0020932304038004945,0.0014016706781820655,2.853067047077218e-05,0.0,0.0013031812955154986,0.0,7.677103962377974e-05,0.0009769219878239088,0.004374911510689516,0.011454056349992947,0.0004105904006796113,0.0010477134362168572,0.00015574118646470846,5.663315871444752e-05,0.000849497380716413,0.005082825994619833,0.007050828259946162,0.003256406626079622,0.00022653263485774566,0.000254849214214925,0.0047147104629760685
NUM_RESIDENTES,0.05269715418377465,-0.000991080277502454,0.008594081834914325,0.019226957383548026,0.1143706640237859,0.01659351550332717,0.0,0.010562084100240754,0.00218037661050543,,0.041611213365425434,0.032946340082118074,0.06541129831516357,0.031403086507149944,0.018976757369614527,0.03029346344263466,0.021010901883052546,0.011100099108027783,0.0005663315871443197,0.00042474869035822314,0.006980036811553103,0.0008070225116805663,0.01505344418052259,0.0009486054084666407,0.0024964336661911666,4.018093867963479e-06,0.006477577615944763,0.000822306944755935,0.0021078387130064823,0.014894520741894391,0.030468639388361907,0.015503327198074502,0.005904006795979045,0.03662749539855581,0.0034263061022228756,0.006286280617301432,0.026773325782245515,0.02889706923403652,0.005521732974656612,0.005422624946906485,0.006937561942517401,0.0077304261645193325,0.015517485487753068
