rural,urbano
CVE_ENT,CVE_ENT
MES_PARTO,MES_PARTO
PAREJA_GANANCIAS,PAREJA_GANANCIAS
BIENES_DE_VIVIENDA,FOCOS
NUM_RESIDENTES,NUM_RESIDENTES
EDAD,BIENES_DE_VIVIENDA
PAREN,PAREJA_CUANTO_APORTA_GASTO
SITUACION_CONYUGAL,EDAD
CUARTOS_TOTAL,ESCOLARIDAD
DONDE_CONSULTAS_PRENATALES,ANIO_PARTO
CUARTOS_DORMIR,CUARTOS_TOTAL
PROPIEDADES_DEL_HOGAR,PAREN
ANIO_PARTO,DONDE_CONSULTAS_PRENATALES
DONDE_ATENDIO_PARTO,VERIF_SITUACION_PAREJA
AGUA,PROPIEDADES_DEL_HOGAR
DRENAJE,SITUACION_CONYUGAL
RES_MADRE,GRADO_ESCOLAR
RES_PADRE,PAREJA_GANANCIAS_FRECUENCIA
ESCOLARIDAD,SERVICIOS_MEDICOS_AFILIADA
PERT_INDIGENA,RES_PADRE
VERIF_SITUACION_PAREJA,DONDE_ATENDIO_PARTO
ENTREVISTADA_TRABAJA,CUARTOS_DORMIR
P10_8_atencion,RES_MADRE
SERVICIOS_MEDICOS_AFILIADA,NACIO_VIV
GRADO_ESCOLAR,MATERIAL_PISOS
LENG_INDIGENA,AGUA
PAREJA_TRABAJA,DRENAJE
PAREJA_GANANCIAS_FRECUENCIA,PERT_INDIGENA
PAREJA_APORTA_PARA_GASTO,ENTREVISTADA_TRABAJA
LIBERTAD_USAR_DINERO,NUM_EMBARAZOS
P10_8_abuso,ABORTO
,P10_8_abuso
,NUM_HOGARES
,LENG_INDIGENA
,PAREJA_TRABAJA
,PAREJA_APORTA_PARA_GASTO
,LIBERTAD_USAR_DINERO
,FUENTES_DE_DINERO
,P10_8_atencion
,
