,rural,urbano
CVE_ENT,0.9310344827586207,0.9210526315789473
DOMINIO,,
SITUACION_CONYUGAL,0.13793103448275862,0.15789473684210525
MATERIAL_PISOS,0.034482758620689655,0.05263157894736842
CUARTOS_DORMIR,0.10344827586206896,0.10526315789473684
CUARTOS_TOTAL,0.034482758620689655,0.2631578947368421
FOCOS,,0.5
AGUA,0.10344827586206896,0.05263157894736842
DRENAJE,0.06896551724137931,0.05263157894736842
NUM_RESIDENTES,0.13793103448275862,0.47368421052631576
NUM_HOGARES,,0.02631578947368421
BIENES_DE_VIVIENDA,0.3793103448275862,0.5
PAREN,0.1724137931034483,0.23684210526315788
EDAD,0.1724137931034483,0.2894736842105263
RES_MADRE,0.06896551724137931,0.10526315789473684
RES_PADRE,0.06896551724137931,0.10526315789473684
ESCOLARIDAD,,0.3421052631578947
GRADO_ESCOLAR,,0.15789473684210525
ALFABETISMO,,
ASISTENCIA_ESC,,
PERT_INDIGENA,0.06896551724137931,0.05263157894736842
LENG_INDIGENA,0.034482758620689655,0.02631578947368421
VERIF_SITUACION_PAREJA,0.06896551724137931,0.18421052631578946
ENTREVISTADA_TRABAJA,0.06896551724137931,0.05263157894736842
PAREJA_TRABAJA,0.034482758620689655,0.02631578947368421
PAREJA_GANANCIAS,0.3793103448275862,0.631578947368421
PAREJA_GANANCIAS_FRECUENCIA,0.10344827586206896,0.21052631578947367
PAREJA_APORTA_PARA_GASTO,0.034482758620689655,0.02631578947368421
PAREJA_CUANTO_APORTA_GASTO,,0.42105263157894735
LIBERTAD_USAR_DINERO,0.034482758620689655,0.02631578947368421
FUENTES_DE_DINERO,,0.02631578947368421
PROPIEDADES_DEL_HOGAR,0.06896551724137931,0.21052631578947367
NUM_EMBARAZOS,,0.05263157894736842
NACIO_VIV,,0.10526315789473684
NACIO_MUERT,,
ABORTO,,0.05263157894736842
ANIO_PARTO,0.034482758620689655,0.2894736842105263
MES_PARTO,0.7586206896551724,0.7368421052631579
DONDE_ATENDIO_PARTO,0.10344827586206896,0.13157894736842105
P10_8_abuso,0.034482758620689655,0.05263157894736842
P10_8_atencion,0.06896551724137931,0.02631578947368421
SERVICIOS_MEDICOS_AFILIADA,0.06896551724137931,0.13157894736842105
DONDE_CONSULTAS_PRENATALES,0.10344827586206896,0.18421052631578946
