,rural,urbano
CVE_ENT,0.2929540368915536,0.20339555531500045
DOMINIO,,
SITUACION_CONYUGAL,0.01529019950928284,0.011352022078962283
MATERIAL_PISOS,0.0056055479154145035,0.01820557470599366
CUARTOS_DORMIR,0.04973754910418394,0.013825268544485396
CUARTOS_TOTAL,0.028486851422877695,0.023579075098693773
FOCOS,,0.04536289190169624
AGUA,0.03970380050619175,0.012538010595079791
DRENAJE,0.05867929115437937,0.026442251989154595
NUM_RESIDENTES,0.022317429248645215,0.023963954139085232
NUM_HOGARES,,0.004371919673723704
BIENES_DE_VIVIENDA,0.03499509064030187,0.04679697423423722
PAREN,0.018226770615465026,0.025668739209641064
EDAD,0.015956077744544803,0.018005360078443788
RES_MADRE,0.008608362130306451,0.01585558142521988
RES_PADRE,0.008164093483265576,0.008877357189145134
ESCOLARIDAD,,0.025496222188048513
GRADO_ESCOLAR,,0.017796924161737716
ALFABETISMO,,
ASISTENCIA_ESC,,
PERT_INDIGENA,0.053351456319564027,0.011676701975207678
LENG_INDIGENA,0.02097659960311582,0.004006347812249717
VERIF_SITUACION_PAREJA,0.03670053047136605,0.019490894152381977
ENTREVISTADA_TRABAJA,0.009331498693025193,0.0049714662241567825
PAREJA_TRABAJA,0.006529585835440106,0.004866027837466024
PAREJA_GANANCIAS,0.05845524916234854,0.08660351149661279
PAREJA_GANANCIAS_FRECUENCIA,0.00661408013382156,0.018013219177843307
PAREJA_APORTA_PARA_GASTO,0.006172041138057357,0.004932777581189644
PAREJA_CUANTO_APORTA_GASTO,,0.031215347656526664
LIBERTAD_USAR_DINERO,0.006124330756381585,0.004103730600129845
FUENTES_DE_DINERO,,0.008631179612951559
PROPIEDADES_DEL_HOGAR,0.0090762554190476,0.036471244900583885
NUM_EMBARAZOS,,0.019255817704408314
NACIO_VIV,,0.01989421520201149
NACIO_MUERT,,
ABORTO,,0.010302400016023587
ANIO_PARTO,0.005542033274494293,0.033095203144504294
MES_PARTO,0.09893912288841827,0.07655983335233332
DONDE_ATENDIO_PARTO,0.032035454639856284,0.02247168294077518
P10_8_abuso,0.006272985566944905,0.004940728507734735
P10_8_atencion,0.006107023533206836,0.004702718381191229
SERVICIOS_MEDICOS_AFILIADA,0.005785359883481996,0.007640883472502878
DONDE_CONSULTAS_PRENATALES,0.03326129231501684,0.024620385722866615
