,CVE_ENT,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.0124142908697221,0.251389390111873,0.1393359797906893,0.29447852760736193,2.2794819545232423,0.07914110429447854,0.14492962829303496,0.383182966438109,0.017827499097798617,0.3764345001804402,0.08235294117647066,0.4234933237098521,0.09998193315266486,0.1328684162231602,0.22443161313605192,0.16373150487188742,0.001840490797546046,0.03294839408155899,0.19787080476362323,0.019162757127390816,0.25775216138328527,0.11613136051966802,0.00745183569611052,2.1421807939531257,0.09224116001017554,0.008470315219493308,0.0014063952019607528,0.1811981234211476,0.09639119451461567,0.39480332010104646,0.039119451461566236,0.046697942980873305,0.02338505954529053,0.02850956333453627,0.5434500180440274,0.5998195597257309,0.11035727174305303,0.13796463370624323,0.15907614579574159,0.2717430530494406,0.19509202453987728
SITUACION_CONYUGAL,0.0009022013713461119,,0.002887044388307447,0.0012630819198845566,0.002093107181522935,0.0,0.0,0.0001443522194153779,0.02858173944424398,0.0,0.00021652832912306686,0.16524720317574887,0.046012269938650374,0.010225835591689237,0.0,0.003572717430530492,0.0,0.0,0.008191988451822474,0.011115120894983765,0.0,0.002766570605187324,0.042475640562973684,0.08502362777171937,0.0,0.003357924192317463,0.04030168245987238,0.0,0.013605196679898924,0.0130999639119451,0.023457235654998177,0.0030313966077228248,0.0006495849873692005,0.0,0.0010826416456153343,0.035835438469866455,0.029267412486467026,0.00032479249368460027,0.0027426921688920914,0.00039696860339228924,0.023854204258390466,0.0001443522194153779
MATERIAL_PISOS,0.059364850234572365,3.608805485384447e-05,,0.00021652832912306686,0.009815950920245387,0.0,0.019343197401660038,0.0036088054853843365,0.010285095633345408,7.217610970768895e-05,0.00021652832912306686,0.002309635510646024,0.0016600505232768458,3.6133694670281714e-05,0.0,0.019234933237098507,0.0030313966077228248,0.0,0.00018044027426922238,0.022555034283652086,0.0,0.0034582132564841663,0.004799711295561204,0.0,0.0,0.0,0.0,0.0,0.0001443522194153779,0.00032479249368460027,0.015806568025983438,0.0,0.0,0.00021652832912306686,0.0,0.003789245759653537,0.013099963911945211,0.0,0.0016239624684229793,0.00025261638397691135,0.0054132082280764935,0.0011548177553230231
CUARTOS_DORMIR,0.0006134969325153561,0.0016600505232767571,0.021941537351136752,,0.35023457235655,0.0,0.0005052327679538227,3.608805485384447e-05,0.18830747022735478,0.0030313966077228248,0.0011909058101768678,0.027787802237459424,0.013605196679899012,0.0018428184281842563,0.0002569278766746397,0.010898592565860699,0.0,0.0,0.0,0.04492962829303497,0.0,0.005609990393852104,0.0068567304222302726,0.0,0.0,0.0,3.867723844517279e-05,0.0,0.0007217610970768895,0.0001443522194153779,0.021003247924936862,0.0,0.0001443522194153779,0.0010826416456153343,0.0,0.00938289426199923,0.017141826055575637,3.608805485384447e-05,0.004294478527607381,0.0006134969325153561,0.026524720317574867,0.0
CUARTOS_TOTAL,0.037242872609166366,0.0015517863587152458,0.05488993143269576,0.31573439191627567,,0.0,0.003247924936845914,0.0016239624684229793,0.020028870443883108,0.0035366293756766477,0.0021652832912306018,0.020173222663298507,0.022735474557921374,0.006793134598012629,0.00238575885483574,0.030133525802959183,0.0035366293756766477,0.0001443522194153779,0.003464453265968959,0.12674124864669792,0.00036088054853844476,0.018059558117195017,0.019018404907975506,0.00021810250817884126,0.13526328075063762,0.0006614093106079632,0.0,0.0,0.005485384337784183,0.005413208228076516,0.058210032479249364,0.0007217610970768895,0.0016239624684229793,0.0006134969325153561,0.002634428004330536,0.03006134969325147,0.0762540599061711,0.002273547455792113,0.014723926380368079,0.008264164561530141,0.05885961746661852,0.0073980512450378955
FOCOS,0.017394442439552505,0.005738000721761049,0.17217610970768676,0.06618549260194877,0.23348971490436665,,0.04521833273186573,0.0008300252616384229,0.1358354384698665,0.0007939372067845785,0.16640202093107184,0.032551425478166765,0.08967881631180083,0.018608852755194215,0.002679390713892471,0.11786358715265241,0.004366654637315071,0.0010465535907614898,0.002273547455792113,0.15514254781667267,0.004041862143630471,0.04568683957732951,0.04792493684590404,0.0013813158851326613,0.0,0.0009666751462731771,0.0,0.0,0.010609888127029964,0.003103572717430514,0.22962829303500545,0.0032840129916997364,0.00025261638397691135,0.0006134969325153561,0.0,0.08708047636232401,0.13114399133886687,0.0005413208228076671,0.020642367376398418,0.004330566582461226,0.05893179357632623,0.012594731143991345
AGUA,0.023348971490436667,0.0018404907975459572,0.022988090941898243,0.0,0.003464453265968959,0.0,,0.028653915553951626,0.0027787802237460024,0.0,0.00046914471309997816,0.004511006856730448,0.0013352580295922455,0.0004336043360433584,0.0001835199119104569,0.00032479249368460027,0.0,0.0,0.0,0.007289787080476362,0.0001443522194153779,0.001575408261287259,0.005088415734391938,0.0,0.0,0.0002543881963876782,0.0,0.0,0.00025261638397691135,0.0,0.0025983399494767133,0.0,0.0,0.0001443522194153779,0.0,0.003247924936845892,0.02331288343558289,0.00032479249368460027,0.0011909058101768678,3.608805485384447e-05,0.005377120173222649,0.0005774088776615116
DRENAJE,0.09473114399133886,0.0019848430169613573,0.0027787802237459135,0.0,0.00043305665824613373,0.0,0.0244677011909058,,0.0012269938650307122,0.0,0.0,0.00021652832912306686,0.01880187657885246,7.226738934056343e-05,0.0,0.0016600505232767348,0.0,0.0,0.0,0.005738000721761049,0.0,0.002036503362151776,0.00021652832912306686,0.0,0.0,0.0,0.0,0.0,7.217610970768895e-05,0.0,0.004907975460122738,0.0,0.00018044027426922238,0.0,0.0,0.0023818116203536245,0.003933597979068959,0.0,0.00021652832912306686,0.0,0.0024178996752074688,0.0
NUM_RESIDENTES,0.006243233489714917,0.015662215806567993,0.0406712378202815,0.16582461205341034,0.00952724648141463,0.0,0.002057019126669046,0.005665824612053383,,0.04471309996391195,0.0032840129916997364,0.08715265247203181,0.08574521833273192,0.0720144534778681,0.031124977060011005,0.05030674846625762,0.013280404186214323,0.0,0.0013352580295922455,0.0502706604114038,0.0007939372067845785,0.04803073967339098,0.015517863587152658,0.00032715376226826186,0.0,0.0007631645891630345,0.0011216399149101219,0.0,0.015517863587152658,0.017899675207506304,0.05460122699386505,0.004005774088776626,0.05817394442439554,0.0009382894261999563,0.0014796102490076235,0.039913388668350744,0.08376037531577052,0.0021291952363767354,0.014976542764345013,0.014760014435221947,0.04980151569830384,0.009455070371706963
NUM_HOGARES,0.0016600505232768237,-0.00010826416456153343,0.0005774088776615116,0.0,0.00032479249368460027,0.0,0.0,0.0,0.017899675207506394,,0.0,0.02223024178996753,0.002057019126669135,0.002023486901535665,0.006313084969719251,0.0006134969325153339,0.0,0.0,0.0,0.00010826416456153343,0.0,0.0018828049951969295,-0.0001443522194153779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005304944063515005,0.0,3.608805485384447e-05,0.0,0.0,0.00025261638397691135,0.0009743774810538009,0.0,0.0005413208228076671,0.0,0.006098881270299538,0.0
BIENES_DE_VIVIENDA,0.04283652111151208,0.008588957055214697,0.14103211836881996,0.005846264886322628,0.03403103572717432,0.0,0.016095272464814125,0.004222302417899693,0.049043666546373224,0.0005413208228076671,,0.019920606279321594,0.05860700108264168,0.011526648599819311,0.011892090291796675,0.0641645615301335,0.008805485384337808,0.001299169974738401,0.010429447852760721,0.07733670155178633,0.0063514976542764275,0.025091258405379447,0.02165283291230604,0.00021810250817884126,0.9436374041143832,0.001170185703383364,0.0015084122993618498,0.0,0.03219054492962827,0.009022013713460831,0.21143991338866835,0.006098881270299517,0.008949837603753164,0.0027066041140382247,0.0015517863587153125,0.059581378563695366,0.14092385420425843,0.003464453265968959,0.01844099603031397,0.029700469144713117,0.07325875135330202,0.015987008300252615
PAREN,0.0002887044388307558,0.08246120534103207,0.006748466257668695,0.028473475279682425,0.003247924936845892,0.8040316967300857,0.00010826416456153343,0.0,0.10696499458679183,0.051858534824972935,0.0002887044388307558,,0.08531216167448578,0.19768744354110207,0.20099100752431637,0.0043305665824612035,0.0005774088776615116,0.0,0.00021652832912306686,0.0224828581739444,0.00025261638397691135,0.01325648414985594,0.0257668711656442,0.0,0.0,0.0,0.0008895764842390408,0.0,0.0010465535907614898,0.0006856730422230451,0.0518946228798268,0.0,0.0007939372067845785,0.0005413208228076671,0.0013352580295922455,0.04114038253338141,0.01180079393720681,0.0,-0.00010826416456153343,0.003572717430530492,0.019451461566221573,0.0
EDAD,0.0047636232407073376,0.004727535185853449,0.023096355106459753,0.004871887405268849,0.006062793215445672,0.0,0.0009382894261999563,0.001623962468422957,0.10155178635871534,0.011836881992060655,0.004871887405268893,0.055395164200649626,,0.0356278229448961,0.06856303908974122,0.032118368819920605,0.033092746300974384,7.217610970768895e-05,0.02753518585348249,0.04507398051245035,0.0010465535907614898,0.11085494716618638,0.014579574160952768,7.270083605961374e-05,0.0,0.0007122869498854989,0.0005028040997872463,0.39244611074720853,0.016131360519668014,0.009346806207145408,0.03832551425478166,0.012269938650306766,0.006134969325153361,0.001984843016961402,0.0027787802237459135,0.039913388668350744,0.0646337062432335,0.004871887405268893,0.01728617827499097,0.013785636954168146,0.04175387946589677,0.006098881270299517
RES_MADRE,0.00036088054853844476,0.003464453265968959,0.010357271743053054,0.0,0.00025261638397691135,0.0,0.00036088054853844476,0.0,0.04821364128473478,0.0006134969325153561,0.0001443522194153779,0.14211476001443527,0.022518946228798308,,0.07307762892273814,0.01512089498376037,0.0,0.0005052327679538227,0.0,0.019884518224467684,0.0,0.002151777137367916,0.004438830747022759,0.00047255543438748935,0.4417815033946102,0.0004578987534978207,0.0,0.0,0.00021652832912306686,0.0019126669072536905,0.015590039696860325,0.0,0.00010826416456153343,0.0,0.0,0.004294478527607315,0.013208228076506724,0.0,-0.00025261638397691135,0.00036088054853844476,0.006784554312522539,0.0
RES_PADRE,0.00046914471309997816,0.0024539877300613134,0.01645615301335259,0.00039696860339228924,0.0009382894261999563,0.0,0.0,0.00032479249368460027,0.025297726452544265,0.002057019126669046,0.0,0.09754601226993868,0.017430530494406415,0.05488708220415532,,0.010357271743053032,0.0005052327679538227,0.0,7.217610970768895e-05,0.04713099963911942,0.002020931071815246,0.05156580211335256,0.001732226632984535,0.0,0.0,0.0,0.0,0.0,0.0011909058101768678,0.0,0.013424756405629745,0.0,0.0,0.0,0.0001443522194153779,0.028401299169974692,0.01623962468422957,0.0001443522194153779,0.0015517863587152902,0.00025261638397691135,0.009238542042583897,0.0
ESCOLARIDAD,0.02082280765066762,0.0016961385781306237,0.02562251894622878,0.0014796102490076013,0.0036809815950920254,0.0,0.00025261638397691135,0.00043305665824613373,0.043666546373150525,0.0,0.005088415734391938,0.02399855647780591,0.049043666546373155,0.003324299909665718,0.0027160946962745403,,0.4450378924575965,0.007542403464453273,0.031035727174305295,0.05745218332731863,0.0006856730422230451,0.025513928914505303,0.034969325153374274,0.0004362050163576825,0.0,0.0012719409819384353,0.0007735447689035003,0.0,0.004655359076145826,0.0002887044388307558,0.04915193071093469,0.0,0.0001443522194153779,0.0030313966077228248,0.0006495849873692005,0.028148682785997803,0.08011548177553232,0.0001443522194153779,0.023421147600144354,0.02183327318657524,0.04142908697221217,0.03504150126308192
GRADO_ESCOLAR,0.010609888127029964,0.004005774088776582,0.023457235654998177,0.00039696860339228924,0.0025261638397690244,0.0,0.0030313966077228248,0.00032479249368460027,0.02648863226272109,0.00046914471309997816,0.0007578491519307339,0.017286178274991015,0.10649584987369187,0.0026738934056007137,0.0028262066434208144,0.4037892457596535,,0.00010826416456153343,0.013677372789606613,0.026452544207867155,0.0,0.014486071085494757,0.0066041140382533834,3.635041802980687e-05,0.0,5.087763927753563e-05,0.0009669309611294308,0.0,0.0027426921688920693,0.0012269938650307122,0.057488271382172516,0.0018044027426921793,0.0006134969325153561,3.608805485384447e-05,0.00010826416456153343,0.01984843016961384,0.09184409960303144,0.0012630819198845566,0.004366654637315048,0.005701912666907227,0.023962468422952,0.00010826416456153343
ALFABETISMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002887044388307558,0.0,0.0,0.00018044027426922238,0.0001443522194153779,0.0,0.0,0.0007217610970768895,0.0,,0.0,0.0,0.0,0.0,-0.00018044027426922238,0.0,0.0,0.0,0.0,0.0,7.217610970768895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.608805485384447e-05,0.0,-0.0001443522194153779,0.0,0.0022374594009382464,0.0
ASISTENCIA_ESC,0.0,0.00018044027426922238,0.0018765788523998684,0.0,0.0002887044388307558,0.0,0.0,0.0,0.016889209671598748,0.0,0.0,0.004041862143630515,0.011620353662937611,0.000252935862691972,0.0,0.010537712017322254,0.004799711295561204,0.0,,0.005701912666907205,0.0,0.005110470701248815,0.005268856008661138,0.0,0.0,0.0,0.0,0.0,0.0,0.0016239624684230014,0.008480692890653207,0.0,0.0,0.0,0.0,0.0032840129916997364,0.0076145795741609625,0.0,0.008625045110068586,0.0,0.016961385781306394,0.0
PERT_INDIGENA,0.028545651389390136,0.0018044027426921128,0.004222302417899693,0.0,0.00021652832912306686,0.0,0.00010826416456153343,0.0,0.0014796102490076235,0.0,0.00010826416456153343,0.0018404907975460682,0.001984843016961446,3.6133694670281714e-05,0.0,0.003933597979068915,0.0,0.0,0.00018044027426922238,,0.024575965355467334,0.0017291066282420608,0.0036088054853843587,0.0,0.0,0.0,0.0,0.0,0.00036088054853844476,0.0,0.008300252616384007,0.0,0.0,0.0,0.0,0.0015156983038613569,0.009743774810537741,0.0007217610970768895,0.0007578491519307339,0.0,0.005846264886322583,0.0
LENG_INDIGENA,0.0,0.0006495849873691783,0.0006856730422230451,0.0,-3.608805485384447e-05,0.0,0.0,0.0,0.0007939372067845785,0.0,0.0,0.0021652832912306685,0.0016239624684230014,0.0,0.0,3.608805485384447e-05,0.0,0.0,0.0,0.029628293035005405,,0.006378482228626359,0.0006495849873692005,0.0,0.0,0.0,0.0,0.0,0.0,0.00032479249368460027,0.0035366293756766477,0.0,0.0,0.0,0.0,0.00021652832912306686,0.0009382894261999563,0.0,0.00039696860339228924,0.0,0.009455070371706942,0.0
VERIF_SITUACION_PAREJA,0.01609527246481417,-0.00559364850234576,0.015806568025983393,0.001768314687838357,0.003103572717430514,0.0,0.0,0.0,0.008625045110068608,0.0,0.0,0.006026705160591917,0.16903644893540243,0.0003252032520325354,0.005799229216369972,0.007903284012991651,0.00025261638397691135,0.0005774088776615116,0.0006495849873692005,0.04215084806928904,0.0005052327679538227,,0.008372428726091697,0.0001454016721192275,0.0,0.000559654032052892,0.0,0.0,0.0012269938650307122,0.0,0.1383255142547817,0.00010826416456153343,0.0001443522194153779,0.00021652832912306686,0.0,0.11775532298809091,0.12894261999278242,0.0008300252616384229,0.004871887405268871,0.002887044388307447,0.056586070010826404,0.00018044027426922238
ENTREVISTADA_TRABAJA,0.0002887044388307558,0.0018404907975459795,0.003644893540238181,0.0001443522194153779,0.00021652832912306686,0.0,0.0,0.0,0.004258390472753559,0.0,0.0,0.011909058101768344,0.0018765788523999126,0.0002890695573622537,0.0,0.013208228076506633,0.0,0.0005413208228076671,3.608805485384447e-05,0.011945146156622144,0.0,0.004111431316042258,,0.0,0.0,0.0,0.0,0.0,0.12847347527968242,0.0,0.008228076506676318,0.00025261638397691135,0.0,0.0,0.0,0.020858895705521442,0.00905810176831474,0.00010826416456153343,0.0024539877300613355,0.0,0.06679898953446409,0.00021652832912306686
