,CVE_ENT,DOMINIO,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.2855868611071782,0.014441455472178899,0.15898343480107602,0.1623531077445844,0.361829251026476,2.5366301561924844,0.15322101090188306,0.25189013167209395,0.21805181934022372,0.016621832082684418,0.3436641653688234,0.053221010901883116,0.3897635565623672,0.06356292517006808,0.1444356748224151,0.16358487894662327,0.19951861815092733,0.005054509415262665,0.0224550474302704,0.12316296191420076,0.062367266034263125,0.06970011876484561,0.11949596488744159,0.010898716119828778,7.247369061605932,0.09438482177079341,0.00923973985198474,0.8779009151850199,0.18780971258671958,0.13974231912784935,0.2750530935862948,0.04193685402803342,0.05067251875973382,0.019906555288121176,0.04338099957525125,0.39052810420501205,0.2883618858841852,0.09194393317287275,0.09902307801217616,0.10117513804332437,0.07753079428005093,0.219226957383548
DOMINIO,0.16205578366133377,,0.002506017273113348,0.060300155741186454,0.008480815517485429,0.028316579357213635,0.0,0.025145122469205704,0.19500212374345177,0.01295483505592523,0.0,0.06546793147387793,0.004714710462976113,0.014243239416678443,0.00503117913832205,0.0026835043409628723,0.01231771202038796,0.007645476426447639,0.0001274246071074847,0.0012176129123601554,0.019934871867478398,0.0020387937137194222,0.01024346793349169,0.012997309924961042,2.853067047077218e-05,0.28550586128954286,7.665772326559406e-05,0.0,0.004889490068310009,0.018193402237009826,0.05177686535466517,0.07499646042758035,0.0055783661333711045,0.00029732408325073846,0.0007220727736089616,0.0036811553164377564,0.017089055642078476,0.025145122469205715,0.010533767520883508,0.019920713577799808,0.017074897352399865,0.00744726037094714,0.02262494690641368
SITUACION_CONYUGAL,0.012119495964887483,0.046566614752937795,,0.021959507291519142,0.03269149086790313,0.02940676766246637,0.0,0.0010335551465383119,0.0010618717258955358,0.04859125017697861,8.494973807167127e-05,0.05809146255132378,0.17072065694464117,0.056279201472462084,0.015320294784580546,0.0017937863241730412,0.028897069234036545,0.016834206427863506,0.0,0.0034687809712586224,0.00659776299023076,0.0011468214639672291,0.004661520190023772,0.04847798385954973,0.07142653352353778,0.0,0.005653507090839405,0.02498318008522089,0.00016535923634739547,0.018816366982868503,0.013280475718533214,0.04449950445986126,0.0036103638680447412,0.004686393883618867,0.001189296333002976,0.013875123885034623,0.06525555712869888,0.042828826277785656,0.01476709613478695,0.017825286705365984,0.0026617584595781006,0.011128415687384919,0.020628628061730114
MATERIAL_PISOS,0.0432252583887867,0.037689367124451326,-0.00032564066260800664,,0.01311057624238987,0.011071782528670537,0.0,0.01979328897069237,0.0201330879229789,0.014894520741894368,0.0,0.06262211524847794,0.0024352258247203997,0.008650714993628728,0.002565192743764211,0.001133672956877363,0.015106895087073502,0.004219170324224808,0.0001415828967861188,0.005224408891405896,0.004162537165510382,0.0009486054084667294,0.0021229216152018893,0.005351833498513381,0.0,1.8848902405554924e-07,0.0,0.0,0.002798340047045866,0.0032705649157582116,0.007008353390910394,0.04185190428996179,0.00866487328330734,1.415828967861188e-05,0.0,0.0005804898768228429,0.010675350417669583,0.020104771343621698,0.0019396856859691392,0.002180376610505452,0.0019396856859691613,0.005040351125583986,0.020614469772051502
CUARTOS_DORMIR,0.0037519467648308826,0.007971117089055579,0.0014441455472178344,0.008310916041342199,,0.3250035395724197,0.0,0.0021237434517910048,0.003964321110009927,0.16549624805323515,0.0070791448393034305,0.04192269573835476,0.020288829109443608,0.0272830242106753,0.007950680272108901,0.002281696204348105,0.010604558969276501,0.009613478691774003,0.00038227382132240975,0.0016848364717542141,0.014498088630893368,0.00087781396007367,0.004023159144893129,0.00505450941526262,0.0,5.5949827472187454,0.0,2.9902070718401674e-05,6.559604866587243e-05,0.0041200622964746355,0.004020954268724353,0.0236443437632734,0.011284156873849649,0.0008070225116805884,1.415828967861188e-05,0.0030440322809004217,0.028911227523715156,0.030242106753504194,0.0340223700976922,0.0039643211100099055,0.007546368398697467,0.003327198074472526,0.009443579215630726
CUARTOS_TOTAL,0.058388786634574606,0.052470621548916865,0.004360753221010838,0.09057057907404782,0.2975930907546368,,0.0,0.008254282882627773,0.007716267874840721,0.05061588560101937,0.0024635424040775566,0.09525697295766666,0.017881919864080453,0.04295625088489308,0.01740362811791385,0.008968931620865294,0.026164519326065405,0.027495398555854412,0.0004813818490726707,0.006753504176695446,0.01224692057199488,0.00375194676483086,0.012678147268408569,0.012515928075888394,0.0011412268188302432,8.80114736865334e-06,0.0012648524338827016,0.0,0.0034337982416702494,0.016890839586577954,0.012261078861673514,0.07590259096701117,0.01631034970975509,0.004941243097833792,0.0019255273962905273,0.008225966303270504,0.08242956250884896,0.06371230355373073,0.03325782245504742,0.013591958091462542,0.017542120911793857,0.010193968568596844,0.03165793572136484
FOCOS,0.07376468922554162,0.06957383548067389,0.011623955826136156,0.1025484921421492,0.04890273254990796,0.35222993062438057,,0.04805323516919158,0.042248336400962774,0.048124026617584595,0.0007787059323233648,0.25634999292085514,0.027920147246212723,0.10920288829109441,0.023001700680272186,0.004620793571069792,0.09715418377460001,0.06296191420076454,0.001727311340790072,0.004516494407475547,0.04264476851196373,0.0039643211100099714,0.014088479809976273,0.029859832932181772,9.985734664763601e-05,0.00011211358090466029,0.0014948256036795503,0.0,0.11249185208951928,0.01362027467081981,0.007064986549624797,0.1251026476001699,0.02691490867903157,0.0011185048846099389,0.0005521732974656634,0.03120487045164939,0.15235735523148808,0.09739487469913635,0.03182783519750816,0.013535324932748116,0.03482939260937281,0.03556562367266029,0.05933739204304116
AGUA,0.06450516777573274,0.048194818065977585,0.003936004530652659,0.05843126150361033,0.003794421633866607,0.01919864080419087,0.0,,0.08040492708480813,0.009301996318844674,4.247486903583564e-05,0.05820472886875263,0.0040209542687243745,0.020855160696587816,0.001927437641723384,0.0032001148023247383,0.006895087073481521,0.00874982302137899,0.0008636556703950804,0.0014016706781820431,0.009542687243380987,0.003100665439614958,0.003904394299287417,0.0034263061022228756,0.0,6.485780821741116e-07,0.00015331544653125474,0.0,4.71822068292882e-05,0.012600877813960132,0.005309358629477545,0.04618434093161548,0.0022086931898626537,0.000736231063287529,0.00015574118646470846,0.014908679031572957,0.020373778847515255,0.029010335551465406,0.0025201755627920486,0.004063429137760144,0.0032139317570437863,0.0033271980744725483,0.012473453206852603
DRENAJE,0.1608664873283308,0.19171740053801495,0.0035678889990088613,0.02108169333144556,0.0036528387370805106,0.016720940110434658,0.0,0.0726037094718958,,0.003143140308650705,0.0,0.015404219170324196,0.0026051253008636975,0.023814243239416655,0.004520975056689381,0.0007605654014493535,0.010831091604134225,0.007149936287696401,0.000467223559394081,0.0003397989522865297,0.005040351125584009,0.002435225824720422,0.0022119952494061845,0.005394308367549195,0.0,0.0,0.0,0.0,7.677103962377974e-05,0.003511255840294547,0.0067393458870168566,0.02649015998867339,0.008480815517485519,9.910802775028315e-05,0.0,0.0011043465949312826,0.04254566048421356,0.018519042899617744,0.0028599745150786004,0.00690924536316011,0.0007787059323233869,0.0023644343763272956,0.010222285147954068
NUM_RESIDENTES,0.030978337816791778,0.04345179102364431,0.004091745717117323,0.038312331870310044,0.1804615602435225,0.06812968993345603,0.0,0.017612912360186896,0.01170890556420785,,0.04577375053093589,0.10134503751946763,0.09350134503751957,0.1663882203029874,0.04153911564625856,0.050441271435746546,0.06947472745292368,0.03291802350276085,0.0014583038368965351,0.005804898768228784,0.023205436783236565,0.006880928783802953,0.013509501187648454,0.015333427721931182,0.00014265335235377207,4.018093867963479e-06,0.0005940973553085538,0.00022426553038801256,0.0021078387130064823,0.03846807305677478,0.07168342064278636,0.04697720515361745,0.011921279909386961,0.04972391335126718,0.002293642927934303,0.008891405918165063,0.09158997593090759,0.08201897210816933,0.02813252159139179,0.019170324224833623,0.030666855443862384,0.019212799093869415,0.04042191703242246
